region,intercept,beta_age,t_age,p_age,q_age,r2,adj_r2
1,0.567274009094833,0.00798825368827264,15.26318583611051,8.643911792138814e-50,1.1840975057724402e-49,0.10608769203677737,0.10563231133990358
2,0.6211726806099324,0.006748227531540614,12.442382242547696,2.9061376131896615e-34,3.459687634749597e-34,0.07310035633157319,0.07262817108263364
3,0.5962725769459541,0.006976530707926787,13.16822957359428,5.195784072743094e-38,6.414548237954436e-38,0.08116555226021771,0.08069747561847562
4,0.6537367576221377,0.005796855129706913,9.63256129601219,1.7259468880938175e-21,1.8167861979934922e-21,0.04513418537685798,0.044647753479444274
5,0.6818266417173403,0.005414410683385441,9.105539568919244,2.0532920933257431e-19,2.116795972500766e-19,0.040525153286648186,0.040036373436055595
6,0.6154870170206843,0.005909350504316244,11.04143890211518,1.530529189723347e-27,1.759228953704997e-27,0.058474071204222766,0.0579944349694822
7,0.6075180559272879,0.00828491811759452,14.175466619399181,1.6854422601597363e-43,2.1608234104612e-43,0.09286001275754752,0.0923978935587485
8,0.6277538988527613,0.006742845418973117,12.153887630534664,8.003126144601105e-33,9.3059606332571e-33,0.06998426867169971,0.0695104960118279
9,0.6481738873875703,0.0052335181877453795,9.373831861017026,1.8575231285216166e-20,1.9349199255433508e-20,0.04284463590511123,0.04235703765544496
10,0.5806260151955701,0.01025929869917738,22.452694293672554,1.4632344398172362e-99,8.607261410689624e-99,0.2043365420978278,0.20393121175758222
11,0.5331536180022662,0.009922588868263199,21.8364692001102,8.253413026894773e-95,3.438922094539488e-94,0.19543620499479664,0.19502634060610324
12,0.5703414914674847,0.010436399811619864,23.493219695921866,9.307474004152963e-108,9.307474004152963e-107,0.21946180237593038,0.21906417721157778
13,0.5027222418884518,0.011069381846067476,24.622869707003677,6.897331512669304e-117,6.8973315126693035e-115,0.23597442263151025,0.2355852093980062
14,0.4839415189317226,0.010019188174316476,22.11852624860106,5.644951008836581e-97,2.6880719089698005e-96,0.1995038647813735,0.19909607255762485
15,0.5022863688600664,0.008597886888947553,19.09945276010302,1.0064586613448718e-74,1.8638123358238366e-74,0.15671054409684904,0.15628095191350555
16,0.579727914593923,0.008814281957409168,16.761154098504548,4.892628222154376e-59,7.644731597116212e-59,0.12519797838165914,0.12475233292999421
17,0.4804952164928456,0.011379803857813403,23.943892279449006,2.260812458889193e-111,3.768020764815322e-110,0.22604097392592892,0.22564670035176992
18,0.5502867620440391,0.007830671610092883,15.024294561944062,2.2365357834070755e-48,3.022345653252804e-48,0.1031326322435343,0.10267574616724473
19,0.49145211575056996,0.00950970496757718,19.988001565130773,4.71469329226243e-81,9.822277692213394e-81,0.16910763575990906,0.168684358956934
20,0.5498757680480603,0.007154013146209826,14.057481489920894,7.70269725524209e-43,9.75024969017986e-43,0.09146145349810575,0.0909986218391644
21,0.5088106756679454,0.008911765105808338,19.354030875410153,1.6185580875930593e-76,3.11261170690973e-76,0.16024210923544335,0.15981431611737684
22,0.5386753656671773,0.010168054202707997,23.582544293526304,1.8006564999375484e-108,2.2508206249219354e-107,0.22076470189598785,0.220367740460377
23,0.4736808991425479,0.010282462660638987,23.534572493831625,4.352615062323683e-108,4.8362389581374256e-107,0.22006490582688032,0.21966758789811158
24,0.530893785013416,0.010529892835671018,22.280059422586238,3.193865688966117e-98,1.774369827203398e-97,0.20183818670122455,0.2014315836379037
25,0.614574677068821,0.009215918373969194,19.915767398987054,1.5672311249631694e-80,3.198430867271774e-80,0.1680926592158204,0.16766886535907854
26,0.5805585805773521,0.009073127957415258,21.296804945837035,1.0272582309463986e-90,3.1129037301406017e-90,0.1876862339929266,0.18727242158028923
27,0.5465099099240299,0.009696126892702992,21.963211785261237,8.82810202763037e-96,3.948863687320073e-95,0.1972626523703377,0.19685371841841226
28,0.5150517917353195,0.00965071373390783,21.768312337192242,2.736943913057854e-94,1.013682930762168e-93,0.19445496844409194,0.194044604189606
29,0.5321506769249461,0.007149272885687449,15.353524917841103,2.499725407869737e-50,3.4718408442635234e-50,0.10721218586016812,0.10675737800782992
30,0.47283118769456906,0.010582315568215704,23.870171756293793,8.873826179157942e-111,1.2676894541654204e-109,0.22496385490742432,0.22456903262260897
31,0.6022221083388913,0.008243594291295798,19.775187532421494,1.6100342489207022e-79,3.1569298998445144e-79,0.16612081561921,0.16569601725732475
32,0.5684011173780986,0.008487923672979092,20.313703721738197,2.0225115103115715e-83,4.596617068889935e-83,0.17369863263101493,0.17327769459363895
33,0.587674331568706,0.01009708962238515,21.110160290899817,2.5894702254084374e-89,7.398486358309821e-89,0.18501688796903037,0.18460171572652861
34,0.5357152106571781,0.008300902513652819,17.170188485991545,1.1275054718432833e-61,1.8483696259725954e-61,0.13057550064386925,0.13013259463298987
35,0.5661340683230344,0.009558696963385583,21.752616671433888,3.605961578189008e-94,1.2434350269617267e-93,0.19422909820954148,0.19381861889125795
36,0.6366322868455814,0.004782937147573396,8.465518193508245,4.9163184132983335e-17,4.9163184132983335e-17,0.03522201362142574,0.03473053222235367
37,0.5270858503786959,0.007669130538865111,16.346882439216756,2.05327580824812e-56,3.1588858588432616e-56,0.11981799899861989,0.11936961285445213
38,0.6022880187948699,0.009996653498009447,21.61857219355833,3.781064801840802e-93,1.2173795106708222e-92,0.19230161435201953,0.1918901531265239
39,0.5939183102587564,0.010472873975666366,20.646026570797133,7.323617682475194e-86,1.8778506878141522e-85,0.17840615766543677,0.17798761775594385
40,0.57628399153159,0.009307593688662043,17.07236288375307,4.865747261187704e-61,7.723408351091594e-61,0.12928366604473562,0.1288401019418547
41,0.5638152332428329,0.008332551431171837,16.2240768219428,1.2036250966749722e-55,1.823674388901473e-55,0.11823655777804642,0.11778736600921202
42,0.6254570050714989,0.007599773966544315,17.301229540058635,1.5751202759967276e-62,2.669695383045301e-62,0.13231146961346751,0.13186944794745292
43,0.6143073711205621,0.008795527532249402,19.836475917659705,5.8391183858616705e-80,1.1678236771723341e-79,0.16697990741149493,0.166555546691888
44,0.6264079312216324,0.009083365958219581,20.583344563478473,2.1238237484008615e-85,5.180057922928931e-85,0.17751651896564635,0.17709752585253669
45,0.6230006532797319,0.009472746155900732,20.058270251938907,1.4614330988579587e-81,3.109432125229699e-81,0.17009613464529394,0.1696733614077215
46,0.5442583036988671,0.009939446645068807,21.961604411022368,9.082386480836168e-96,3.948863687320073e-95,0.19723947489463534,0.19683052913553933
47,0.49378750672054217,0.01056476224435474,24.291464829247634,3.476191715514136e-114,1.738095857757068e-112,0.2311233327018939,0.23073164820505332
48,0.5187889709027771,0.009907239175594731,22.21677414791432,9.854672744215531e-98,5.186669865376595e-97,0.2009232502771603,0.2005161811229459
49,0.6319503187370143,0.004821761918350212,8.697141081721727,7.057297089309302e-18,7.128582918494244e-18,0.03710329103587606,0.036612768005328866
50,0.5987016180692951,0.0052141175580042425,10.293476460555942,3.0776819370389115e-24,3.419646596709902e-24,0.05121214524465645,0.050728809608000636
51,0.5758774074304631,0.00831109440640851,16.190911008217462,1.9371550016649758e-55,2.8912761218880235e-55,0.11781053759417404,0.11736112880028415
52,0.6189385814202533,0.007023650536439078,12.772502114233939,6.037109751924911e-36,7.273626207138448e-36,0.07672921585808312,0.07625887923855079
53,0.6149349920652402,0.008129474916467287,13.99975265962779,1.6140488488419292e-42,2.0175610610524113e-42,0.09077985327644156,0.09031667439375002
54,0.6596541634297864,0.006051316171419633,10.137812990079102,1.4129893817442619e-23,1.519343421230389e-23,0.04975142001109678,0.04926734024543766
55,0.647587388168882,0.005733478090071416,10.168055740742293,1.0525329685920738e-23,1.1440575745566018e-23,0.050033822120330584,0.04954988621718248
56,0.623035914334361,0.005855424334282818,10.832350496353111,1.344695441611564e-26,1.5280630018313225e-26,0.05640415873474758,0.05592346803619164
57,0.630547255466121,0.006830010478147663,12.246014768581064,2.7959706115723185e-33,3.2893771900850806e-33,0.0709736727260094,0.07050040409265534
58,0.6406546840906232,0.00577610177490221,10.523576715624497,3.11576757017811e-25,3.5008624384023704e-25,0.05340368814645391,0.0529214689351174
59,0.5886611769998247,0.009833535587221368,21.0468292866847,7.709338918326782e-89,2.1414830328685507e-88,0.18411252131014755,0.18369688836124798
60,0.541304142319182,0.010133541928643986,21.76477303376339,2.912559095246855e-94,1.0401996768738766e-93,0.1944040325360592,0.1939936423335814
61,0.5884753595008727,0.010416767745745584,22.482258664904922,8.617768488631387e-100,5.745178992420925e-99,0.2047647529530705,0.2043596407538617
62,0.5093937912389489,0.010873313556204453,23.42404832839335,3.3131373857412415e-107,3.011943077946583e-106,0.21845327454662633,0.21805513561363943
63,0.4703009453913442,0.010986682506195868,22.59160237422225,1.211996207827495e-100,8.657115770196393e-100,0.20634936609297216,0.2059450611342829
64,0.48420786948288125,0.00993802964464661,21.61686652992459,3.895614434146631e-93,1.2173795106708222e-92,0.19227710540977017,0.19186563169882254
65,0.5150244871437448,0.008875427610411516,17.29373767526898,1.763243791709619e-62,2.938739652849365e-62,0.1322120527573576,0.13176998044597565
66,0.5000489252121074,0.00863498204761701,18.997309811142422,5.222938650556697e-74,9.496252091921269e-74,0.15529847446694856,0.15486816294095107
67,0.6266110492129797,0.007541526139301498,13.081531679228485,1.4878903425407684e-37,1.8145004177326445e-37,0.08018572160275328,0.07971714581141487
68,0.5009202052402444,0.009976486309088952,21.264788471310688,1.7891202419111522e-90,5.262118358562213e-90,0.18722791940886807,0.18681387351962142
69,0.5348364066528567,0.008315160325654497,17.082033297895617,4.2120455535771175e-61,6.793621860608253e-61,0.1294112103720988,0.128967711243404
70,0.5603428298917978,0.007584074274706856,14.202465491445961,1.1887108820113294e-43,1.5437803662484797e-43,0.09318108366001787,0.09271912802255478
71,0.5356743776405244,0.007643167067808475,16.046393846674714,1.5274983516216922e-54,2.2463211053260177e-54,0.11595959978002124,0.11550924807333762
72,0.5377466686364748,0.010468994863497717,23.98741595274541,1.0073884978113033e-111,2.0147769956226065e-110,0.22667704170730918,0.2262830921615666
73,0.4741385789927548,0.01033239896452048,23.22814666695446,1.1938179227707358e-105,9.948482689756132e-105,0.21559908414218842,0.2151994912151085
74,0.6033696540590552,0.008494431978249466,14.207029995266698,1.1205133449416089e-43,1.4743596643968538e-43,0.09323540267968511,0.09277347471365338
75,0.5521289303135892,0.010175776866083956,20.503533242899053,8.214228642612881e-85,1.9557687244316383e-84,0.1763849036406887,0.17596533405517711
76,0.5959260481591789,0.009410825910079051,22.16976862419564,2.2727747364414682e-97,1.1363873682207342e-96,0.2002440061160875,0.1998365909383576
77,0.5328977321104491,0.007357078996436183,15.715229612911092,1.6440005305761706e-52,2.3485721865373867e-52,0.11175202193696065,0.11129952678766719
78,0.4802168020130223,0.010439145681851605,24.07758091530679,1.8828451081209506e-112,4.7071127703023766e-111,0.22799507808910546,0.22760179998319063
79,0.6014808402361013,0.008691477689560302,20.591789363300737,1.8402434275648255e-85,4.6006085689120635e-85,0.17763632954844355,0.17721739746976217
80,0.5634227187694106,0.008955248781063812,20.758125279010553,1.0853269837642786e-86,2.8561236414849436e-86,0.17999908408080756,0.1795813556468192
81,0.5291037475713443,0.009575523850396866,19.1315248474224,5.9939769525277015e-75,1.1309390476467362e-74,0.15715450729211855,0.15672514127443748
82,0.5405966065745589,0.008022690706024821,15.462585803389326,5.547792897348933e-51,7.813792813167511e-51,0.10857475869749911,0.1081206449729436
83,0.6326171444590546,0.009147983356583518,18.90233118439614,2.4017093616634355e-73,4.2887667172561346e-73,0.15398802441693893,0.15355704531577585
84,0.5825325922114701,0.009801270964219457,21.77162439209418,2.5821935746102097e-94,9.931513748500805e-94,0.1945026355701549,0.19409229559846364
85,0.5301393734786033,0.010492557308505627,23.087943227928736,1.5363915816791465e-104,1.181839678214728e-103,0.21355840454349206,0.213157772044533
86,0.5030364194808618,0.010449956895970999,24.09040055658104,1.4829729072688145e-112,4.7071127703023766e-111,0.2281825122317387,0.22778932960934017
87,0.5299621913039375,0.007522921792205464,15.96407957178921,4.92104172200497e-54,7.131944524644884e-54,0.1149093155690909,0.11445842882205526
88,0.5229867894566278,0.009641550496853132,21.65969219535485,1.8405260937431348e-93,6.135086979143783e-93,0.19289260852720014,0.19248144836852832
89,0.6072091657182407,0.0053262764569418815,10.277710827002307,3.594733601023215e-24,3.950256704421115e-24,0.0510633953034243,0.05057998388992624
90,0.5921489297523371,0.008148676001983091,14.58546633630275,7.927130720461839e-46,1.0569507627282451e-45,0.09777649725921989,0.09731688263734484
91,0.5938226256825588,0.01012662860795125,20.156629682990676,2.823543509203904e-82,6.274541131564231e-82,0.1714816540658567,0.17105958664561516
92,0.6154858060847087,0.00989451146163723,20.82287356597106,3.591985011284881e-87,9.708067598067246e-87,0.1809202617917206,0.18050300262808927
93,0.6031247937705533,0.009370842772130086,17.653829711685805,7.478792421217966e-65,1.2894469691755113e-64,0.13701301211656391,0.13657338553078524
94,0.6248462664022025,0.008004584974550664,17.792336964314693,8.95141655553991e-66,1.5704239571122649e-65,0.13887164504829919,0.13843296529539462
95,0.6172157841823062,0.009200308580771244,20.05986171382809,1.4231307716087294e-81,3.0937625469754983e-81,0.1701185352889879,0.1696957734628488
96,0.6267197566522914,0.009112672215182388,20.350661319689987,1.0856046007692632e-83,2.5246618622541003e-83,0.17422102848701038,0.17380035657080406
97,0.5419432574845021,0.009803883776978944,21.808330104346776,1.354254337424286e-94,5.417017349697144e-94,0.19503101195795514,0.19462094115406214
98,0.519673305819907,0.010101720713375515,22.464165605540792,1.1915815814168335e-99,7.44738488385521e-99,0.2045026806067043,0.2040974349014606
99,0.6351552744921946,0.004867537426494611,8.703057558254342,6.7117610732064166e-18,6.8487357889861395e-18,0.03715191322709677,0.036661414965877714
100,0.6075601450270778,0.0049571620481220335,9.772646847865376,4.654728741851875e-22,4.951839087076463e-22,0.04639514781150034,0.045909358279055845
